# Лог очищен 2026-03-26 09:24:57
2026-03-26 15:11:56 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:12:07 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:12:09 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:12:14 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11101 | Message: 14259
2026-03-26 15:12:27 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:250:11101 | Message: 14259
2026-03-26 15:12:28 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11101 | Message: 14259
2026-03-26 15:12:34 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: activate_news:11101 | Message: 14259
2026-03-26 15:13:36 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:13:39 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:13:40 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:13:50 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11102 | Message: 14270
2026-03-26 15:14:00 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11102 | Message: 14270
2026-03-26 15:19:05 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:19:16 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ❌ Отменить заполнение
2026-03-26 15:19:18 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:19:20 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:19:21 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:19:27 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11103 | Message: 14287
2026-03-26 15:19:40 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11103 | Message: 14287
2026-03-26 15:19:49 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11103 | Message: 14287
2026-03-26 15:20:33 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:252:11103 | Message: 14287
2026-03-26 15:20:44 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11103 | Message: 14287
2026-03-26 15:24:24 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:24:35 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:24:37 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:24:45 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11104 | Message: 14300
2026-03-26 15:28:42 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:253:11104 | Message: 14300
2026-03-26 15:29:54 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ❓ Консультация со специалистом
2026-03-26 15:29:57 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 345
2026-03-26 15:29:59 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🔧 Модераторское меню
2026-03-26 15:30:01 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📋 Неотвеченные вопросы
2026-03-26 15:30:02 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: next_question_19 | Message: 14314
2026-03-26 15:32:08 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: cancel_question | Message: 14314
2026-03-26 15:34:53 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:253:11104 | Message: 14300
2026-03-26 15:35:05 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11104 | Message: 14300
2026-03-26 15:40:10 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📋 Неотвеченные вопросы
2026-03-26 15:40:12 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: next_question_19 | Message: 14318
2026-03-26 15:40:13 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: prev_question_20 | Message: 14318
2026-03-26 15:40:15 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 15:40:18 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:40:22 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:40:29 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 132
2026-03-26 15:40:38 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11105 | Message: 14327
2026-03-26 15:40:46 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:254:11105 | Message: 14327
2026-03-26 15:42:13 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11105 | Message: 14327
2026-03-26 15:47:43 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11105 | Message: 14327
2026-03-26 15:47:45 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:254:11105 | Message: 14327
2026-03-26 15:47:47 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:254:11105 | Message: 14327
2026-03-26 15:47:50 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:47:52 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:47:54 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:47:56 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11106 | Message: 14340
2026-03-26 15:47:59 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:255:11106 | Message: 14340
2026-03-26 15:48:02 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11106 | Message: 14340
2026-03-26 15:48:06 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:255:11106 | Message: 14340
2026-03-26 15:55:08 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:55:10 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:55:13 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:55:22 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11107 | Message: 14353
2026-03-26 15:55:31 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: activate_news:11107 | Message: 14353
2026-03-26 15:55:38 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11107 | Message: 14353
2026-03-26 15:55:39 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:256:11107 | Message: 14353
2026-03-26 15:55:46 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: activate_news:11107 | Message: 14353
2026-03-26 15:56:22 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👑 Админ-панель
2026-03-26 15:56:24 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🛠 Управление кнопками
2026-03-26 15:56:26 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: toggle_button_publish_to_group | Message: 14361
2026-03-26 15:56:28 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 15:56:45 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 15:56:47 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:56:49 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 15:56:58 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11108 | Message: 14370
2026-03-27 06:06:25 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: activate_news:11108 | Message: 14370
2026-03-27 06:06:29 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: deactivate_news:11108 | Message: 14370
2026-03-27 06:06:37 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👑 Админ-панель
2026-03-27 06:06:40 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🛠 Управление кнопками
2026-03-27 06:06:46 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: toggle_button_contract | Message: 14378
2026-03-27 06:07:00 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: admin_back | Message: 14378
2026-03-27 06:07:22 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👥 Управление персоналом
